year,round,region_number,region_name,seed1,score1,team1,seed2,score2,team2
1985,1,1,West,1,83,St Johns,16,59,Southern
1985,1,1,West,2,81,VCU,15,65,Marshall
1985,1,1,West,3,65,NC State,14,56,Nevada
1985,1,1,West,4,85,UNLV,13,80,San Diego St
1985,1,1,West,5,58,Washington,12,65,Kentucky
1985,1,1,West,6,75,Tulsa,11,79,UTEP
1985,1,1,West,7,50,Alabama,10,41,Arizona
1985,1,1,West,8,54,Iowa,9,63,Arkansas
1985,1,2,East,1,68,Georgetown,16,43,Lehigh
1985,1,2,East,2,65,Georgia Tech,15,58,Mercer
1985,1,2,East,3,76,Illinois,14,57,Northeastern
1985,1,2,East,4,59,Loyola Illinois,13,58,Iona
1985,1,2,East,5,85,SMU,12,68,Old Dominion
1985,1,2,East,6,67,Georgia,11,59,Wichita St
1985,1,2,East,7,70,Syracuse,10,65,DePaul
1985,1,2,East,8,60,Temple,9,57,Virginia Tech
1985,1,3,Midwest,1,96,Oklahoma,16,83,North Carolina A&T
1985,1,3,Midwest,2,67,Memphis,15,55,Pennsylvania
1985,1,3,Midwest,3,75,Duke,14,62,Pepperdine
1985,1,3,Midwest,4,75,Ohio St,13,64,Iowa St
1985,1,3,Midwest,5,78,Louisiana Tech,12,54,Pittsburgh
1985,1,3,Midwest,6,53,Texas Tech,11,55,Boston College
1985,1,3,Midwest,7,70,UAB,10,68,Michigan St
1985,1,3,Midwest,8,55,USC,9,58,Illinois St
1985,1,4,Southeast,1,59,Michigan,16,55,Fairleigh Dickinson
1985,1,4,Southeast,2,76,North Carolina,15,57,Middle Tennessee St
1985,1,4,Southeast,3,49,Kansas,14,38,Ohio
1985,1,4,Southeast,4,55,LSU,13,78,Navy
1985,1,4,Southeast,5,69,Maryland,12,68,Miami Ohio
1985,1,4,Southeast,6,58,Purdue,11,59,Auburn
1985,1,4,Southeast,7,79,Notre Dame,10,70,Oregon St
1985,1,4,Southeast,8,51,Villanova,9,49,Dayton
1985,2,1,West,1,68,St Johns,9,65,Arkansas
1985,2,1,West,2,59,VCU,7,63,Alabama
1985,2,1,West,3,86,NC State,11,73,UTEP
1985,2,1,West,4,61,UNLV,12,64,Kentucky
1985,2,2,East,1,63,Georgetown,8,46,Temple
1985,2,2,East,2,70,Georgia Tech,7,53,Syracuse
1985,2,2,East,3,74,Illinois,6,58,Georgia
1985,2,2,East,4,70,Loyola Illinois,5,57,SMU
1985,2,3,Midwest,1,75,Oklahoma,9,69,Illinois St
1985,2,3,Midwest,2,67,Memphis,7,66,UAB
1985,2,3,Midwest,3,73,Duke,11,74,Boston College
1985,2,3,Midwest,4,67,Ohio St,5,79,Louisiana Tech
1985,2,4,Southeast,1,55,Michigan,8,59,Villanova
1985,2,4,Southeast,2,60,North Carolina,7,58,Notre Dame
1985,2,4,Southeast,3,64,Kansas,11,66,Auburn
1985,2,4,Southeast,13,59,Navy,5,64,Maryland
1985,3,1,West,1,86,St Johns,12,70,Kentucky
1985,3,1,West,7,55,Alabama,3,61,NC State
1985,3,2,East,1,65,Georgetown,4,53,Loyola Illinois
1985,3,2,East,2,61,Georgia Tech,3,53,Illinois
1985,3,3,Midwest,1,86,Oklahoma,5,84,Louisiana Tech
1985,3,3,Midwest,2,59,Memphis,11,57,Boston College
1985,3,4,Southeast,8,46,Villanova,5,43,Maryland
1985,3,4,Southeast,2,62,North Carolina,11,56,Auburn
1985,4,1,West,1,69,St Johns,3,60,NC State
1985,4,2,East,1,60,Georgetown,2,54,Georgia Tech
1985,4,3,Midwest,1,61,Oklahoma,2,63,Memphis
1985,4,4,Southeast,8,56,Villanova,2,44,North Carolina
1985,5,1,Final Four,1,59,St Johns,1,77,Georgetown
1985,5,2,Final Four,2,45,Memphis,8,52,Villanova
1985,6,1,Championship,1,64,Georgetown,8,66,Villanova
1986,1,1,Southeast,1,75,Kentucky,16,55,Davidson
1986,1,1,Southeast,2,68,Georgia Tech,15,53,Marist
1986,1,1,Southeast,3,95,Memphis,14,63,Ball St
1986,1,1,Southeast,4,75,Illinois,13,51,Fairfield
1986,1,1,Southeast,5,97,Alabama,12,80,Xavier
1986,1,1,Southeast,6,87,Purdue,11,94,LSU
1986,1,1,Southeast,7,62,Virginia Tech,10,71,Villanova
1986,1,1,Southeast,8,67,Western Kentucky,9,59,Nebraska
1986,1,2,West,1,83,St Johns,16,74,Montana St
1986,1,2,West,2,93,Louisville,15,73,Drexel
1986,1,2,West,3,84,North Carolina,14,72,Utah
1986,1,2,West,4,74,UNLV,13,51,Louisiana Monroe
1986,1,2,West,5,69,Maryland,12,64,Pepperdine
1986,1,2,West,6,66,UAB,11,64,Missouri
1986,1,2,West,7,83,Bradley,10,65,UTEP
1986,1,2,West,8,73,Auburn,9,63,Arizona
1986,1,3,East,1,85,Duke,16,78,Mississippi Valley St
1986,1,3,East,2,101,Syracuse,15,52,Brown
1986,1,3,East,3,79,Indiana,14,83,Cleveland St
1986,1,3,East,4,80,Oklahoma,13,74,Northeastern
1986,1,3,East,5,68,Virginia,12,72,DePaul
1986,1,3,East,6,60,St Josephs,11,59,Richmond
1986,1,3,East,7,87,Navy,10,68,Tulsa
1986,1,3,East,8,72,Old Dominion,9,64,West Virginia
1986,1,4,Midwest,1,71,Kansas,16,46,North Carolina A&T
1986,1,4,Midwest,2,70,Michigan,15,64,Akron
1986,1,4,Midwest,3,83,Notre Dame,14,90,Arkansas Little Rock
1986,1,4,Midwest,4,70,Georgetown,13,64,Texas Tech
1986,1,4,Midwest,5,72,Michigan St,12,70,Washington
1986,1,4,Midwest,6,66,NC State,11,64,Iowa
1986,1,4,Midwest,7,81,Iowa St,10,79,Miami Ohio
1986,1,4,Midwest,8,50,Jacksonville,9,61,Temple
1986,2,1,Southeast,1,71,Kentucky,8,64,Western Kentucky
1986,2,1,Southeast,2,66,Georgia Tech,10,61,Villanova
1986,2,1,Southeast,3,81,Memphis,11,83,LSU
1986,2,1,Southeast,4,56,Illinois,5,58,Alabama
1986,2,2,West,1,65,St Johns,8,81,Auburn
1986,2,2,West,2,82,Louisville,7,68,Bradley
1986,2,2,West,3,77,North Carolina,6,59,UAB
1986,2,2,West,4,70,UNLV,5,64,Maryland
1986,2,3,East,1,89,Duke,8,61,Old Dominion
1986,2,3,East,2,85,Syracuse,7,97,Navy
1986,2,3,East,14,75,Cleveland St,6,69,St Josephs
1986,2,3,East,4,69,Oklahoma,12,74,DePaul
1986,2,4,Midwest,1,65,Kansas,9,43,Temple
1986,2,4,Midwest,2,69,Michigan,7,72,Iowa St
1986,2,4,Midwest,14,66,Arkansas Little Rock,6,80,NC State
1986,2,4,Midwest,4,68,Georgetown,5,80,Michigan St
1986,3,1,Southeast,1,68,Kentucky,5,63,Alabama
1986,3,1,Southeast,2,64,Georgia Tech,11,70,LSU
1986,3,2,West,8,70,Auburn,4,63,UNLV
1986,3,2,West,2,94,Louisville,3,79,North Carolina
1986,3,3,East,1,74,Duke,12,67,DePaul
1986,3,3,East,7,71,Navy,14,70,Cleveland St
1986,3,4,Midwest,1,96,Kansas,5,86,Michigan St
1986,3,4,Midwest,7,66,Iowa St,6,70,NC State
1986,4,1,Southeast,1,57,Kentucky,11,59,LSU
1986,4,2,West,8,76,Auburn,2,84,Louisville
1986,4,3,East,1,71,Duke,7,50,Navy
1986,4,4,Midwest,1,75,Kansas,6,67,NC State
1986,5,1,Final Four,11,77,LSU,2,88,Louisville
1986,5,2,Final Four,1,71,Duke,1,67,Kansas
1986,6,1,Championship,2,72,Louisville,1,69,Duke
1987,1,1,West,1,95,UNLV,16,70,Idaho St
1987,1,1,West,2,99,Iowa,15,76,Santa Clara
1987,1,1,West,3,93,Pittsburgh,14,68,Marist
1987,1,1,West,4,92,UCLA,13,73,Central Michigan
1987,1,1,West,5,60,Virginia,12,64,Wyoming
1987,1,1,West,6,74,Oklahoma,11,69,Tulsa
1987,1,1,West,7,98,UTEP,10,91,Arizona
1987,1,1,West,8,79,Georgia,9,82,Kansas St
1987,1,2,Midwest,1,92,Indiana,16,58,Fairfield
1987,1,2,Midwest,2,75,Temple,15,56,Southern
1987,1,2,Midwest,3,76,DePaul,14,62,Louisiana Tech
1987,1,2,Midwest,4,69,Missouri,13,70,Xavier
1987,1,2,Midwest,5,58,Duke,12,51,Texas A&M
1987,1,2,Midwest,6,57,St Johns,11,55,Wichita St
1987,1,2,Midwest,7,79,Georgia Tech,10,85,LSU
1987,1,2,Midwest,8,62,Auburn,9,61,San Diego
1987,1,3,Southeast,1,75,Georgetown,16,53,Bucknell
1987,1,3,Southeast,2,88,Alabama,15,71,North Carolina A&T
