name,region,start_seed,games_played,minutes,field_goals_made,field_goals_att,field_goals_pct,two_points_made,two_points_att,two_points_pct,three_points_made,three_points_att,three_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls,tech_fouls,points,fast_break_pts,flagrant_fouls,points_off_turnovers,second_chance_pts,ejections,foulouts,points_in_paint,efficiency,true_shooting_att,true_shooting_pct
north carolina,Midwest,1,36,7225.0,1118,2410,0.464,806,1548,0.521,312,862,0.362,169,541,728,0.743,415,1043,1458,678,471,1.44,252,120,611,0,3089,461,3,587,540,0,6,1304,3647,2730.32,0.566
houston,Midwest,3,37,7400.0,982,2203,0.446,649,1264,0.513,333,939,0.355,71,490,697,0.703,396,966,1362,548,411,1.33,240,161,706,11,2787,506,3,558,444,0,15,1060,3259,2509.68,0.555
iona,Midwest,16,33,6600.0,857,1897,0.452,560,1052,0.532,297,845,0.351,27,521,699,0.745,237,778,1015,432,408,1.06,223,90,564,13,2532,316,2,525,288,0,6,938,2666,2204.56,0.574
utah state,Midwest,8,35,7050.0,960,2040,0.471,686,1268,0.541,274,772,0.355,114,559,747,0.748,324,963,1287,598,448,1.33,215,147,651,7,2753,258,0,528,413,0,10,1174,3284,2368.68,0.581
seton hall,Midwest,10,34,6875.0,888,2021,0.439,648,1280,0.506,240,741,0.324,151,492,697,0.706,309,801,1110,459,421,1.09,235,132,640,11,2508,374,3,475,333,1,15,1166,2685,2327.68,0.539
georgia state,Midwest,14,34,6800.0,903,1967,0.459,573,1109,0.517,330,858,0.385,35,462,694,0.666,241,779,1020,415,390,1.06,268,158,583,16,2598,321,0,584,283,0,0,1028,2773,2272.36,0.572
wofford,Midwest,7,35,7050.0,1044,2132,0.49,659,1203,0.548,385,929,0.414,38,406,577,0.704,341,832,1173,528,377,1.4,233,105,589,3,2879,345,1,556,461,0,4,1094,3282,2385.88,0.603
auburn,Midwest,5,40,8075.0,1097,2439,0.45,643,1235,0.521,454,1204,0.377,145,540,760,0.711,408,844,1252,572,466,1.23,369,190,735,8,3188,440,5,861,461,0,16,1182,3543,2773.4,0.575
northeastern,Midwest,13,34,6925.0,880,1848,0.476,552,990,0.558,328,858,0.382,31,476,634,0.751,209,798,1007,480,381,1.26,211,74,540,4,2564,218,2,461,242,0,1,959,2829,2126.96,0.603
kansas,Midwest,4,36,7275.0,989,2128,0.465,729,1385,0.526,260,743,0.35,122,487,691,0.705,336,943,1279,478,483,0.99,243,139,612,3,2725,336,5,534,394,0,13,1270,3038,2432.04,0.56
